"id","ref_id","user_id","batch_id","amount","charge","profit","refund","status","medium","payment_channel","transaction_context","created_at"
"25916","nivas_6464_1776546929983","6464",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-18 22:18:03"
"25917","nivas_10729_1776549465356","10729",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-18 23:04:03"
"25919","nivas_13972_1776550466783","13972",NULL,"2860","110","80","0","successful","NIVASITY","wallet","purchase","2026-04-18 23:14:29"
"25920","nivas_4598_1776553200975","4598",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 00:00:49"
"25921","nivas_12153_1776556069772","12153",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 00:49:18"
"25922","nivas_12036_1776563357437","12036",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 02:51:56"
"25923","nivas_12434_1776566607","12434",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 03:46:02"
"25924","nivas_5235_1776573163042","5235",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 05:33:47"
"25925","nivas_8250_1776580189013","8250",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 07:30:48"
"25926","nivas_12495_1776580779712","12495",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 07:41:29"
"25927","nivas_2155_1776581494089","2155",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 07:52:09"
"25928","nivas_13973_1776581702193","13973",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 07:55:58"
"25929","nivas_13974_1776581926808","13974",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 08:04:04"
"25930","nivas_11877_1776582415372","11877",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 08:10:02"
"25932","nivas_12428_1776583344011","12428",NULL,"2860","110","81","0","successful","NIVASITY","wallet","purchase","2026-04-19 08:22:28"
"25933","nivas_5380_1776585845067","5380",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 09:05:18"
"25934","nivas_8573_1776586105145","8573",NULL,"1400","100","79","0","successful","PAYSTACK","gateway","purchase","2026-04-19 09:10:16"
"25935","nivas_1693_1776586408518","1693",NULL,"3368","168","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 09:15:09"
"25936","nivas_2191_1776587738839","2191",NULL,"1300","100","80","0","successful","PAYSTACK","gateway","purchase","2026-04-19 09:37:25"
"25937","nivas_11693_1776590113758","11693",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 10:17:25"
"25938","nivas_13976_1776590108404","13976",NULL,"2100","100","68","0","successful","PAYSTACK","gateway","purchase","2026-04-19 10:20:06"
"25939","nivas_13066_1776592085","13066",NULL,"2911","161","17","0","successful","PAYSTACK","gateway","purchase","2026-04-19 10:49:55"
